"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0R400","2019-07-11 00:00:00","15.000","233.000","1.600","29.100","-99.000","1007.900","-99.000","0.500","-99.000","-99.000","-99.000","31.800","","28.000",""
"C0E750","2019-07-11 00:00:00","62.000","212.000","3.800","28.500","0.730","999.700","-99.000","4.000","-99.000","-99.000","-99.000","33.400","","27.100",""
"C0U520","2019-07-11 00:00:00","517.000","231.000","0.800","23.300","0.990","953.200","-99.000","0.000","-99.000","-99.000","-99.000","33.500","","21.500",""
"C0T9G0","2019-07-11 00:00:00","605.000","235.000","0.300","24.000","0.990","944.500","-99.000","0.000","-99.000","-99.000","-99.000","30.500","","23.000",""
"C0S700","2019-07-11 00:00:00","507.000","243.000","0.700","24.700","0.800","953.600","-99.000","0.000","-99.000","-99.000","-99.000","34.400","","24.200",""
"C0Z310","2019-07-11 00:00:00","59.000","337.000","0.700","27.900","1.000","1001.000","-99.000","0.000","-99.000","-99.000","-99.000","31.900","","26.000",""
"C0V610","2019-07-11 00:00:00","22.000","68.000","3.700","24.500","1.000","1006.800","-99.000","56.000","-99.000","-99.000","-99.000","30.900","","24.500",""
"C0E610","2019-07-11 00:00:00","850.000","222.000","0.300","22.500","0.870","916.300","-99.000","1.500","-99.000","-99.000","-99.000","28.200","","22.200",""
"C0R280","2019-07-11 00:00:00","242.000","270.000","2.000","26.800","-99.000","981.500","-99.000","11.500","-99.000","-99.000","-99.000","28.200","","25.300",""
"C0V450","2019-07-11 00:00:00","51.000","44.000","1.400","24.400","0.990","1003.800","-99.000","25.000","-99.000","-99.000","-99.000","31.600","","24.200",""
"C0M720","2019-07-11 00:00:00","225.000","113.000","1.900","25.400","0.890","983.600","-99.000","16.000","-99.000","-99.000","-99.000","31.100","","24.300",""
"C0AD10","2019-07-11 00:00:00","27.000","246.000","1.800","29.200","0.710","1003.600","-99.000","0.000","-99.000","-99.000","-99.000","34.900","","28.700",""
"C0Z180","2019-07-11 00:00:00","34.000","200.000","0.700","28.000","0.730","1003.500","-99.000","0.000","-99.000","-99.000","-99.000","31.200","","25.500",""
"C0K420","2019-07-11 00:00:00","42.000","156.000","1.400","25.800","0.940","1003.500","-99.000","17.000","-99.000","-99.000","-99.000","31.000","","25.600",""
"C0D540","2019-07-11 00:00:00","227.000","138.000","0.800","24.800","0.930","982.700","-99.000","0.000","-99.000","-99.000","-99.000","33.600","","22.900",""
"C0E590","2019-07-11 00:00:00","40.000","176.000","2.900","28.000","0.860","1002.100","-99.000","10.000","-99.000","-99.000","-99.000","33.000","","26.600",""
"C0Z330","2019-07-11 00:00:00","488.000","0.000","0.100","25.200","0.830","956.000","-99.000","0.000","-99.000","-99.000","-99.000","36.100","","22.700",""
"C0R580","2019-07-11 00:00:00","10.000","37.000","2.300","25.200","1.000","1008.400","-99.000","38.000","-99.000","-99.000","-99.000","31.100","","25.000",""
"C0S810","2019-07-11 00:00:00","65.000","253.000","0.600","25.600","0.910","1003.400","-99.000","0.000","-99.000","-99.000","-99.000","33.300","","25.200",""
"C0V820","2019-07-11 00:00:00","441.000","162.000","0.700","23.200","0.990","963.300","-99.000","37.000","-99.000","-99.000","-99.000","29.200","","22.400",""
"C0K490","2019-07-11 00:00:00","91.000","166.000","1.000","24.800","0.970","997.900","-99.000","24.000","-99.000","-99.000","-99.000","32.600","","24.500",""
"C0SA20","2019-07-11 00:00:00","857.000","299.000","2.100","24.400","0.720","915.400","-99.000","0.000","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"CM0140","2019-07-11 00:00:00","26.000","250.000","1.000","28.000","0.780","1006.100","-99.000","0.000","-99.000","-99.000","-99.000","32.400","","26.700",""
"C0AC80","2019-07-11 00:00:00","40.000","0.000","0.000","27.200","0.880","1002.500","-99.000","0.000","-99.000","-99.000","-99.000","35.800","","24.900",""
"C0M810","2019-07-11 00:00:00","1354.000","0.000","0.200","18.800","0.970","865.500","-99.000","11.500","-99.000","-99.000","-99.000","23.100","","18.000",""
"C0R370","2019-07-11 00:00:00","55.000","0.000","0.100","26.700","-99.000","1004.400","-99.000","7.500","-99.000","-99.000","-99.000","29.100","","25.200",""
